3;2012;SA051;5;Obrigatória;60;Não;-;-;-;12;1
7;2012;SA059_OU_SA114;4;Obrigatória;60;Não;-;-;-;7;1
7;2012;SA074_OU_SA074EAD;7;Obrigatória;60;Não;-;-;-;7;1
7;2012;SA056;3;Obrigatória;60;Não;-;-;-;7;1
7;2012;SA055;3;Obrigatória;60;Não;-;-;-;7;1
7;2012;SA051;5;Obrigatória;60;Não;-;-;-;7;1
7;2012;SA064;5;Obrigatória;60;Não;-;-;-;7;1
7;2012;SA065;5;Obrigatória;60;Não;-;-;-;7;1
7;2012;SA075;7;Obrigatória;60;Não;-;-;-;7;1
7;2012;SA076;7;Obrigatória;60;Não;-;-;-;7;1
9;2013;SA059_OU_SA114;4;Obrigatória;60;Não;-;-;-;12;1
10;2013;CM300;2;Obrigatória;60;Não;-;-;-;10;1
10;2013;SA092;2;Obrigatória;60;Não;-;-;-;10;1
10;2013;SA062;4;Obrigatória;60;Não;-;-;-;10;1
10;2013;SA100_OU_SA100A;4;Obrigatória;60;Não;-;-;-;10;1
10;2013;SA051;5;Obrigatória;60;Não;-;-;-;10;1
10;2013;SA064;5;Obrigatória;60;Não;-;-;-;10;1
10;2013;HP228;6;Obrigatória;60;Não;-;-;-;10;1
10;2013;SA069;6;Obrigatória;60;Não;-;-;-;10;1
10;2013;SA076;7;Obrigatória;60;Não;-;-;-;10;1
12;2013;CM300;2;Obrigatória;60;Não;-;-;-;10;1
12;2013;SA092;2;Obrigatória;60;Não;-;-;-;10;1
12;2013;SA071;6;Obrigatória;60;Não;-;-;-;10;1
13;2013;SA062;4;Obrigatória;60;Não;-;-;-;11;1
13;2013;SA064;5;Obrigatória;60;Não;-;-;-;11;1
13;2013;SA069;6;Obrigatória;60;Não;-;-;-;11;1
14;2013;SA092;2;Obrigatória;60;Não;-;-;-;12;1
15;2013;SA092;2;Obrigatória;60;Não;-;-;-;10;1
17;2013;SA092;2;Obrigatória;60;Não;-;-;-;12;1
20;2013;SA098_OU_SA108A;3;Obrigatória;60;Não;-;-;-;12;1
20;2013;CM300;2;Obrigatória;60;Não;-;-;-;12;1
20;2013;SA092;2;Obrigatória;60;Não;-;-;-;12;1
20;2013;SA060;4;Obrigatória;60;Não;-;-;-;12;1
20;2013;SA067;5;Obrigatória;60;Não;-;-;-;12;1
20;2013;SA064;5;Obrigatória;60;Não;-;-;-;12;1
20;2013;SA063;5;Obrigatória;60;Não;-;-;-;12;1
20;2013;SA071;6;Obrigatória;60;Não;-;-;-;12;1
20;2013;SA069;6;Obrigatória;60;Não;-;-;-;12;1
20;2013;SA070;6;Obrigatória;60;Não;-;-;-;12;1
24;2013;SA092;2;Obrigatória;60;Não;-;-;-;11;1
27;2013;SA092;2;Obrigatória;60;Não;-;-;-;5;1
29;2014;SA064;5;Obrigatória;60;Não;-;-;-;8;1
34;2014;SA098_OU_SA108A;3;Obrigatória;60;Não;-;-;-;8;1
34;2014;SA064;5;Obrigatória;60;Não;-;-;-;8;1
36;2014;SA074_OU_SA074EAD;7;Obrigatória;60;Não;-;-;-;10;1
36;2014;SA077_OU_SA110;7;Obrigatória;60;Não;-;-;-;10;1
36;2014;CM300;2;Obrigatória;60;Não;-;-;-;10;1
36;2014;SA092;2;Obrigatória;60;Não;-;-;-;10;1
36;2014;SA062;4;Obrigatória;60;Não;-;-;-;10;1
36;2014;SA051;5;Obrigatória;60;Não;-;-;-;10;1
36;2014;SA063;5;Obrigatória;60;Não;-;-;-;10;1
36;2014;SA071;6;Obrigatória;60;Não;-;-;-;10;1
36;2014;SA069;6;Obrigatória;60;Não;-;-;-;10;1
36;2014;SA073;7;Obrigatória;60;Não;-;-;-;10;1
36;2014;SA076;7;Obrigatória;60;Não;-;-;-;10;1
38;2014;SA056;3;Obrigatória;60;Não;-;-;-;10;1
38;2014;SA062;4;Obrigatória;60;Não;-;-;-;10;1
38;2014;SA064;5;Obrigatória;60;Não;-;-;-;10;1
38;2014;SA069;6;Obrigatória;60;Não;-;-;-;10;1
40;2014;CM300;2;Obrigatória;60;Não;-;-;-;4;1
40;2014;SA092;2;Obrigatória;60;Não;-;-;-;4;1
46;2014;SA074_OU_SA074EAD;7;Obrigatória;60;Não;-;-;-;10;1
46;2014;SA069;6;Obrigatória;60;Não;-;-;-;10;1
46;2014;SA073;7;Obrigatória;60;Não;-;-;-;10;1
48;2014;SA092;2;Obrigatória;60;Não;-;-;-;10;1
57;2014;SA077_OU_SA110;7;Obrigatória;60;Não;-;-;-;8;1
57;2014;SA068;2;Obrigatória;60;Não;-;-;-;8;1
57;2014;SA067;5;Obrigatória;60;Não;-;-;-;8;1
57;2014;SA063;5;Obrigatória;60;Não;-;-;-;8;1
57;2014;SA069;6;Obrigatória;60;Não;-;-;-;8;1
57;2014;SA076;7;Obrigatória;60;Não;-;-;-;8;1
60;2014;SA072_OU_SA109;6;Obrigatória;60;Não;-;-;-;6;1
60;2014;SA066_OU_SA113;5;Obrigatória;60;Não;-;-;-;6;1
60;2014;SA074_OU_SA074EAD;7;Obrigatória;60;Não;-;-;-;6;1
60;2014;SA077_OU_SA110;7;Obrigatória;60;Não;-;-;-;6;1
60;2014;SA097;1;Obrigatória;60;Não;-;-;-;6;1
60;2014;CE003;2;Obrigatória;60;Não;-;-;-;6;1
60;2014;SA092;2;Obrigatória;60;Não;-;-;-;6;1
60;2014;SA056;3;Obrigatória;60;Não;-;-;-;6;1
60;2014;SA057;4;Obrigatória;60;Não;-;-;-;6;1
60;2014;SA062;4;Obrigatória;60;Não;-;-;-;6;1
60;2014;SA100_OU_SA100A;4;Obrigatória;60;Não;-;-;-;6;1
